぀ : 0              , ぁ : 6754           , あ : 131288         , ぃ : 23996          , 
過 : 1750           , 去 : 816            , 均 : 617            , 値 : 1093           , 号 : 1951           , 
郷 : 242            , 猛 : 57             , 隼 : 10             , 体 : 6028           , 仮 : 364            , 
日 : 65047          , 憲 : 309            , 法 : 5580           , 定 : 6417           , 民 : 2829           , 
務 : 2300           , 勤 : 216            , 労 : 676            , 教 : 5244           , 育 : 1450           , 
納 : 324            , 税 : 625            , 太 : 1969           , 棹 : 14             , 細 : 1185           , 
楽 : 4791           , 器 : 3622           , 種 : 3746           , 類 : 3879           , 線 : 2006           , 
代 : 7591           , 作 : 9130           , 黒 : 867            , 霧 : 75             , 推 : 777            , 
誰 : 5449           , 松 : 430            , 清 : 346            , 張 : 1180           , 計 : 2855           , 
量 : 1978           , 杯 : 201            , 通 : 5590           , 常 : 3018           , 板 : 518            , 
靴 : 304            , 取 : 3657           , 付 : 2695           , 締 : 217            , 具 : 1375           , 
星 : 2058           , 天 : 2240           , 然 : 1495           , 記 : 3440           , 念 : 1083           , 
指 : 3234           , 学 : 11157          , 火 : 1529           , 神 : 2402           , 聖 : 657            , 
視 : 1043           , 拝 : 156            , 紀 : 1850           , 元 : 2598           , 世 : 7248           , 
宗 : 534            , 聴 : 447            , 調 : 2012           , 査 : 978            , 午 : 259            , 
時 : 8470           , 他 : 3106           , 影 : 1675           , 響 : 1428           , 及 : 573            , 
狭 : 127            , 範 : 361            , 事 : 6982           , 嵐 : 129            , 藤 : 376            , 
不 : 2651           , 比 : 945            , 等 : 756            , 親 : 1457           , 王 : 2018           , 
共 : 2665           , 上 : 9322           , 基 : 1879           , 典 : 524            , 宝 : 363            , 
律 : 509            , 令 : 432            , 妊 : 100            , 娠 : 60             , 月 : 8499           , 
戌 : 3              , 胎 : 36             , 児 : 453            , 保 : 2525           , 護 : 1045           , 
帯 : 1259           , 岩 : 538            , 小 : 4531           , 説 : 2551           , 巨 : 314            , 
違 : 1513           , 襲 : 199            , 風 : 1664           , 球 : 2619           , 重 : 3508           , 
単 : 1989           , 位 : 3151           , 色 : 2425           , 鳩 : 56             , 血 : 733            , 
見 : 6532           , 最 : 12555          , 級 : 643            , 箱 : 476            , 根 : 767            , 
富 : 527            , 士 : 1748           , 山 : 3102           , 噴 : 165            , 灰 : 165            , 
積 : 1130           , 形 : 2913           , 成 : 5884           , 広 : 2043           , 関 : 4899           , 
地 : 9688           , 方 : 6433           , 赤 : 1219           , 粘 : 94             , 土 : 1582           , 
質 : 2454           , 層 : 673            , 都 : 3441           , 洛 : 15             , 第 : 3233           , 
認 : 2097           , 弥 : 76             , 勒 : 7              , 菩 : 32             , 薩 : 55             , 
像 : 869            , 寺 : 663            , 隆 : 96             , 牛 : 687            , 頭 : 1485           , 
耕 : 91             , 起 : 2183           , 源 : 1124           , 校 : 1871           , 知 : 5352           , 
映 : 2762           , 監 : 1050           , 督 : 869            , 洋 : 1232           , 次 : 54453          , 
四 : 754            , 書 : 4513           , 五 : 484            , 経 : 2686           , 孟 : 21             , 
論 : 1653           , 庸 : 11             , 春 : 615            , 七 : 280            , 草 : 724            , 
蕪 : 6              , 今 : 2442           , 決 : 2786           , 勝 : 2944           , 行 : 11082          , 
皇 : 644            , 初 : 5371           , 優 : 2878           , 飾 : 363            , 弘 : 53             , 
筆 : 518            , 誤 : 274            , 師 : 1111           , 応 : 1379           , 南 : 2495           , 
米 : 2884           , 独 : 1192           , 立 : 5292           , 北 : 2822           , 秋 : 369            , 
詞 : 568            , 童 : 342            , 謡 : 205            , 床 : 374            , 屋 : 2113           , 
客 : 1150           , 版 : 846            , 社 : 4312           , 角 : 774            , 店 : 1393           , 
㎞ : 7              , 以 : 4619           , 下 : 4541           , 短 : 853            , 路 : 1389           , 
運 : 2593           , 航 : 881            , 空 : 2890           , 輸 : 349            , 送 : 1395           , 
炎 : 329            , 外 : 3156           , 内 : 3289           , 組 : 2638           , 図 : 1091           , 
案 : 764            , 化 : 5407           , 特 : 3983           , 落 : 1598           , 真 : 1414           , 
打 : 1520           , 座 : 1272           , 二 : 1821           , 相 : 2026           , 撲 : 229            , 
横 : 559            , 綱 : 86             , 朝 : 991            , 青 : 779            , 龍 : 118            , 
力 : 5137           , 砂 : 808            , 固 : 704            , 翼 : 148            , 飛 : 1388           , 
陽 : 1131           , 熱 : 1113           , 溶 : 281            , 墜 : 39             , 死 : 1724           , 
降 : 886            , 各 : 1012           , 猿 : 134            , 石 : 1620           , 進 : 1838           , 
葉 : 2940           , 略 : 1058           , 期 : 3025           , 俳 : 527            , 句 : 266            , 
海 : 3829           , 詠 : 72             , 江 : 582            , 戸 : 732            , 与 : 2158           , 
謝 : 246            , 村 : 831            , 曲 : 2133           , 湖 : 804            , 眠 : 511            , 
美 : 1486           , 女 : 4479           , 入 : 6277           , 紅 : 245            , 輪 : 569            , 
系 : 1054           , 惑 : 595            , 衛 : 645            , 水 : 5019           , 金 : 4241           , 
綴 : 52             , 展 : 865            , 開 : 4697           , 電 : 5218           , 季 : 508            , 
劇 : 753            , 公 : 3636           , 団 : 1357           , 示 : 1651           , 可 : 2864           , 
会 : 8020           , 設 : 3537           , 切 : 2299           , 西 : 2079           , 暦 : 191            , 
持 : 5263           , 置 : 2993           , 有 : 3914           , 滋 : 37             , 賀 : 146            , 
県 : 1976           , 焼 : 784            , 演 : 2179           , 奏 : 662            , 者 : 9014           , 
族 : 1668           , 昨 : 530            , 般 : 2367           , 来 : 3581           , 鮮 : 322            , 
批 : 381            , 判 : 1403           , 的 : 15184          , 称 : 1574           , 悪 : 1228           , 
枢 : 98             , 軸 : 148            , 木 : 2119           , 順 : 487            , 戯 : 134            , 
夕 : 247            , 鶴 : 70             , 助 : 945            , 婚 : 742            , 幾 : 96             , 
布 : 692            , 縫 : 83             , 模 : 836            , 様 : 2549           , 芸 : 778            , 
紫 : 211            , 皮 : 429            , 膚 : 103            , 褐 : 50             , 健 : 812            , 
衆 : 772            , 番 : 2887           , 州 : 5607           , 試 : 1596           , 主 : 5619           , 
著 : 899            , 純 : 394            , 粋 : 105            , 践 : 115            , 観 : 1649           , 
創 : 1030           , 哲 : 322            , 態 : 1261           , 度 : 4149           , 変 : 2939           , 
斑 : 52             , 紋 : 111            , 節 : 702            , 豹 : 9              , 歌 : 1893           , 
呼 : 4108           , 幕 : 323            , 規 : 1334           , 茎 : 67             , 唐 : 129            , 
郵 : 234            , 政 : 2967           , 業 : 4889           , 営 : 708            , 便 : 577            , 
貯 : 232            , 簡 : 669            , 易 : 394            , 険 : 868            , 夏 : 945            , 
夜 : 800            , 焚 : 32             , 野 : 2855           , 薪 : 52             , 皿 : 191            , 
吸 : 522            , 口 : 2198           , 船 : 1067           , 乗 : 1407           , 銅 : 257            , 
錫 : 24             , 黄 : 510            , 亜 : 279            , 鉛 : 244            , 役 : 1961           , 
庄 : 26             , 百 : 611            , 姓 : 86             , 卓 : 202            , 先 : 1767           , 
改 : 872            , 差 : 720            , 妻 : 457            , 左 : 498            , 右 : 506            , 
対 : 4613           , 診 : 271            , 断 : 1027           , 検 : 1044           , 精 : 651            , 
医 : 1029           , 河 : 703            , 流 : 2429           , 絶 : 744            , 鴨 : 32             , 
明 : 3629           , 随 : 62             , 丈 : 455            , 桜 : 199            , 井 : 469            , 
暑 : 185            , 残 : 1348           , 寒 : 275            , 余 : 304            , 魚 : 1124           , 
局 : 808            , 数 : 6210           , 算 : 848            , 挙 : 1552           , 異 : 1652           , 
投 : 1772           , 杉 : 73             , 茂 : 77             , 住 : 1801           , 宮 : 552            , 
殿 : 412            , 封 : 115            , 建 : 2052           , 制 : 2522           , 崩 : 253            , 
壊 : 697            , 農 : 703            , 博 : 776            , 矢 : 156            , 兼 : 149            , 
笑 : 463            , 型 : 1487           , 和 : 1838           , 製 : 1863           , 科 : 2077           , 
友 : 986            , 伊 : 231            , 勢 : 551            , 丹 : 50             , 近 : 2323           , 
彦 : 98             , 収 : 1755           , 穫 : 98             , 芋 : 55             , 豆 : 755            , 
軍 : 2125           , 済 : 1586           , 包 : 361            , 選 : 4709           , 導 : 1343           , 
測 : 948            , 械 : 552            , 圧 : 783            , 帝 : 857            , 勅 : 46             , 
竜 : 249            , 安 : 1783           , 庭 : 727            , 園 : 1546           , 式 : 2650           , 
枯 : 69             , 築 : 985            , 工 : 1617           , 無 : 1964           , 祈 : 123            , 
願 : 405            , 儀 : 235            , 鎮 : 84             , 祭 : 511            , 参 : 1617           , 
議 : 2306           , 院 : 1418           , 党 : 860            , 躍 : 631            , 多 : 6570           , 
含 : 2000           , 旋 : 73             , 交 : 1564           , 命 : 1659           , 革 : 719            , 
速 : 1467           , 九 : 175            , 鹿 : 242            , 宙 : 866            , 跳 : 150            , 
浮 : 427            , 受 : 3347           , 昭 : 228            , 品 : 4209           , 活 : 2792           , 
蛭 : 7              , 占 : 603            , 禁 : 315            , 止 : 1189           , 限 : 1313           , 
競 : 1334           , 係 : 1180           , 企 : 1232           , 価 : 1999           , 避 : 430            , 
協 : 811            , 瞰 : 2              , 両 : 1408           , 生 : 11477          , 喩 : 46             , 
蛙 : 12             , 苦 : 429            , 賃 : 140            , 幼 : 384            , 虫 : 691            , 
昆 : 181            , 界 : 5265           , 思 : 2756           , 灯 : 222            , 台 : 1541           , 
治 : 2039           , 首 : 1285           , 標 : 1218           , 準 : 1346           , 録 : 1765           , 
予 : 1501           , 約 : 2596           , 辛 : 279            , 岳 : 74             , 集 : 2080           , 
深 : 883            , 久 : 331            , 誘 : 269            , 棒 : 311            , 巻 : 550            , 
段 : 1218           , 古 : 1703           , 墳 : 32             , 塚 : 100            , 舞 : 813            , 
至 : 223            , 史 : 1992           , 跡 : 477            , 奈 : 186            , 良 : 1742           , 
嫁 : 66             , 熊 : 171            , 在 : 4024           , 煮 : 233            , 乳 : 708            , 
膜 : 163            , 乾 : 434            , 燥 : 307            , 光 : 1931           , 湯 : 273            , 
竪 : 5              , 琴 : 90             , 竹 : 172            , 道 : 3469           , 雄 : 304            , 
兄 : 543            , 弟 : 562            , 弁 : 431            , 証 : 1272           , 雪 : 583            , 
境 : 1084           , 斤 : 4              , 非 : 1565           , 売 : 2345           , 由 : 2103           , 
極 : 861            , 熟 : 329            , 束 : 331            , 鉄 : 889            , 梃 : 4              , 
犯 : 558            , 罪 : 604            , 報 : 1827           , 容 : 1014           , 抱 : 226            , 
御 : 427            , 技 : 2207           , 隔 : 202            , 服 : 718            , 奮 : 92             , 
檄 : 2              , 破 : 1011           , 掛 : 288            , 機 : 4743           , 尺 : 77             , 
